area,date,generation,avgTa,avgWs,avgRhm,ssDur,sumSsHr,sumGsr,avgTca,PM10,PM25
강원도,2016-02-16,202.573852,0.0,3.7,41.8,10.8,10.0,15.5,0.8,30.791666666666668,18.80555555555556
강원도,2016-02-17,378.929366,2.3,3.8,32.1,10.9,10.3,17.12,0.8,35.84722222222222,16.055555555555557
강원도,2016-02-18,211.665301,6.3,3.6,36.8,10.9,8.6,12.65,0.8,53.43055555555556,31.76388888888889
강원도,2016-02-19,107.320949,6.5,3.1,27.0,10.9,5.0,10.01,0.8,59.138888888888886,31.76388888888889
강원도,2016-02-20,276.595988,2.4,2.4,45.1,11.0,6.3,12.06,0.8,55.833333333333336,18.5
강원도,2016-02-21,403.064169,2.1,2.9,23.1,11.0,10.5,17.85,0.8,32.34722222222222,15.555555555555555
강원도,2016-02-22,165.288435,4.4,2.6,28.6,11.1,3.6,9.81,0.8,39.41666666666666,18.59722222222222
강원도,2016-02-23,316.577103,4.1,2.7,49.3,11.1,9.2,16.36,0.8,69.36111111111111,34.083333333333336
강원도,2016-02-24,354.82857,-0.7,1.4,71.6,11.1,2.3,6.91,0.8,23.05555555555556,16.36111111111111
강원도,2016-02-25,275.715487,0.8,2.8,39.6,11.2,9.4,16.6,0.8,43.68055555555556,28.18055555555556
강원도,2016-02-26,384.672081,2.6,2.1,36.8,11.2,10.4,18.21,0.8,45.388888888888886,27.27083333333333
강원도,2016-02-27,276.41002000000003,2.7,2.0,63.4,11.3,9.0,15.74,0.8,54.19444444444444,36.44444444444444
강원도,2016-02-28,66.573314,2.3,2.1,66.8,11.3,1.4,5.46,0.8,48.91666666666666,34.34027777777778
강원도,2016-02-29,66.706081,-1.6,2.6,48.3,11.3,8.0,5.6,0.8,46.47222222222222,32.395833333333336
강원도,2016-03-01,316.368447,-0.5,4.3,34.9,11.4,10.6,19.82,0.8,45.77777777777778,27.875
강원도,2016-03-02,219.764965,5.2,5.1,40.6,11.4,10.4,17.81,0.8,67.01388888888889,42.04166666666666
강원도,2016-03-03,304.740634,8.4,3.4,51.5,11.5,10.4,17.31,0.8,59.333333333333336,39.083333333333336
강원도,2016-03-04,253.551914,5.0,1.5,75.5,11.5,0.4,5.24,0.8,72.41666666666667,47.30555555555556
강원도,2016-03-05,54.107842000000005,6.5,1.1,83.4,11.5,1.2,6.38,0.8,59.375,41.05555555555556
강원도,2016-03-06,314.878395,7.7,1.4,78.9,11.6,6.4,13.49,0.8,34.361111111111114,17.20138888888889
강원도,2016-03-07,152.638398,6.5,1.7,67.9,11.6,6.1,11.71,0.8,63.47222222222222,22.38888888888889
강원도,2016-03-08,155.49327,6.4,1.5,48.4,11.7,1.3,9.45,0.8,69.58333333333333,24.444444444444443
강원도,2016-03-09,347.791876,1.0,1.7,70.4,11.7,2.0,6.05,0.8,31.61805555555556,13.94212962962963
강원도,2016-03-10,434.868309,0.3,1.8,58.8,11.7,9.3,18.77,0.8,39.56944444444444,17.439814814814817
강원도,2016-03-11,462.912753,0.3,2.1,38.9,11.8,11.0,21.44,0.8,35.791666666666664,17.88888888888889
강원도,2016-03-12,321.138214,3.9,2.7,36.4,11.8,10.4,16.61,0.8,62.763888888888886,29.9375
강원도,2016-03-13,115.050613,6.6,2.5,43.5,11.9,0.3,8.53,0.8,98.94444444444444,67.45833333333333
강원도,2016-03-14,270.318155,3.0,1.9,63.5,11.9,2.7,8.31,0.8,59.333333333333336,39.23611111111112
강원도,2016-03-15,411.485417,8.2,2.5,38.0,11.9,10.4,21.27,0.8,55.15277777777778,33.076388888888886
강원도,2016-03-16,360.574841,13.3,3.8,17.0,12.0,7.4,17.1,0.8,65.11111111111111,33.291666666666664
강원도,2016-03-17,334.474012,15.5,2.7,17.3,12.0,8.3,17.54,0.8,54.388888888888886,28.86805555555556
강원도,2016-03-18,165.527637,15.8,2.3,42.0,12.1,4.8,11.54,0.8,46.06944444444444,23.30555555555556
강원도,2016-03-19,351.688905,9.9,1.7,57.1,12.1,9.7,19.39,0.8,65.61111111111111,34.84722222222222
강원도,2016-03-20,154.131564,6.9,1.6,63.5,12.1,0.1,2.74,0.8,42.29166666666666,22.166666666666668
강원도,2016-03-21,392.831648,9.3,2.0,54.0,12.2,11.1,21.32,0.8,41.98611111111112,20.229166666666668
강원도,2016-03-22,333.506985,11.2,2.9,42.9,12.2,4.6,9.43,0.8,57.80555555555556,31.65277777777778
강원도,2016-03-23,198.292357,4.8,1.6,80.5,12.3,0.2,4.01,0.8,25.34722222222222,15.59027777777778
강원도,2016-03-24,356.270624,4.5,1.9,65.4,12.3,1.2,6.2,0.8,30.875,16.895833333333332
강원도,2016-03-25,231.398405,5.4,1.6,66.9,12.3,6.9,14.36,0.8,32.236111111111114,18.319444444444443
강원도,2016-03-26,326.879344,7.6,2.6,49.8,12.4,10.7,21.53,0.8,55.5,34.916666666666664
강원도,2016-03-27,393.274986,10.7,2.4,31.1,12.4,10.9,20.63,0.8,69.375,42.81944444444444
강원도,2016-03-28,437.738845,14.0,2.9,21.8,12.5,11.2,21.76,0.8,73.83333333333333,46.94444444444444
강원도,2016-03-29,273.187932,15.7,4.2,27.6,12.5,4.6,10.18,0.8,83.33333333333333,48.98611111111112
강원도,2016-03-30,410.451824,15.5,2.7,28.5,12.5,11.3,20.68,0.8,73.08333333333333,43.125
강원도,2016-03-31,345.91296900000003,17.4,2.4,20.0,12.6,11.1,19.93,0.8,56.888888888888886,20.38888888888889
강원도,2016-04-01,434.699454,11.3,2.6,55.1,12.6,5.4,12.82,0.8,58.138888888888886,30.86111111111111
강원도,2016-04-02,400.884362,12.0,1.5,70.4,12.7,9.6,19.93,0.8,75.56944444444444,45.263888888888886
강원도,2016-04-03,75.707701,10.0,1.6,79.0,12.7,0.3,6.41,0.8,55.79166666666666,35.041666666666664
